@relation 'litere-weka.filters.unsupervised.attribute.Remove-R1-2,11,18-19-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O7.3-E8.7-weka.filters.unsupervised.attribute.Remove-R22-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-Llast-weka.filters.unsupervised.attribute.Remove-R21'

@attribute TOTALSES numeric
@attribute W0 numeric
@attribute W1 numeric
@attribute W2 numeric
@attribute W3 numeric
@attribute W4 numeric
@attribute W5 numeric
@attribute W6 numeric
@attribute MSG_TOTALSEND numeric
@attribute MSG_TOTALRECV numeric
@attribute MSG_MEANSEND numeric
@attribute MSG_MEANRECV numeric
@attribute MSG_TOTALSEND_WDS numeric
@attribute MSG_TOTALRECV_WDS numeric
@attribute TOTALQUEST numeric
@attribute GOODQUEST numeric
@attribute QUESTPERC numeric
@attribute TOTALHW numeric
@attribute MEAN_TOTALHW_GRADE numeric
@attribute MEAN_HOMEWORKS_GRADE numeric

@data
0,0,0,0,0,0,0,0,0,9,0,270,0,199,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,0,270,0,199,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,0,270,0,199,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,0,270,0,199,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,0,270,0,199,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,9,0,270,0,199,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,0,270,0,199,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,0,270,0,199,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,0,270,0,199,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,8,0,294,0,185,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,0,270,0,199,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,0,270,0,199,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,0,270,0,199,0,0,0,0,0,0
39,8,4,5,5,7,5,5,28,13,0,379,700,331,61,17,27,0,0,0
0,0,0,0,0,0,0,0,13,10,0,328,302,225,146,67,45,0,0,0
66,17,9,9,11,6,8,6,15,3,168,518,397,69,146,67,45,6,0,0
0,0,0,0,0,0,0,0,0,10,0,328,0,225,146,67,45,0,0,0
0,0,0,0,0,0,0,0,0,10,0,328,0,225,146,67,45,0,0,0
0,0,0,0,0,0,0,0,7,13,53,383,173,331,61,17,27,0,0,0
100,17,21,15,12,16,9,10,1,8,0,201,103,278,61,17,27,0,0,0
226,35,36,26,25,26,27,51,0,2,0,218,0,43,61,17,27,0,0,0
3,1,0,1,1,0,0,0,44,14,152,267,1362,338,146,67,45,0,0,0
82,7,13,12,16,13,12,9,202,14,245,384,4962,389,61,17,27,0,0,0
0,0,0,0,0,0,0,0,16,10,0,328,352,225,146,67,45,0,0,0
16,2,1,3,1,6,1,2,0,10,0,328,0,225,146,67,45,6,0,0
157,22,26,31,32,21,10,15,2509,27,169,292,52781,621,61,17,27,0,0,0
43,11,6,9,8,1,7,1,0,11,0,377,0,277,61,17,27,0,0,0
11,5,2,0,1,1,1,1,0,7,0,74,0,165,1407,890,63,0,0,0
108,20,18,16,15,14,14,11,10,6,254,220,313,182,61,17,27,0,0,0
91,11,12,14,12,14,13,15,20,13,85,383,439,331,61,17,27,0,0,0
60,10,12,8,11,7,10,2,0,13,0,383,0,331,61,17,27,0,0,0
89,10,27,13,18,16,1,4,12,12,132,346,388,274,146,67,45,26,1.538462,0.952381
3,0,0,1,1,1,0,0,0,13,0,383,0,331,61,17,27,0,0,0
0,0,0,0,0,0,0,0,0,10,0,328,0,225,146,67,45,0,0,0
11,1,3,0,1,1,2,3,0,9,0,277,0,183,146,67,45,0,0,0
41,2,5,7,13,2,9,3,0,13,0,383,0,331,61,17,27,0,0,0
0,0,0,0,0,0,0,0,0,10,0,268,0,222,72,9,12,0,0,0
2,0,0,1,1,0,0,0,0,11,0,333,0,260,33,4,12,0,0,0
0,0,0,0,0,0,0,0,0,11,0,222,0,260,33,4,12,0,0,0
45,2,7,12,13,3,4,4,0,12,0,389,0,284,184,62,33,0,0,0
0,0,0,0,0,0,0,0,0,11,0,194,0,260,33,4,12,0,0,0
0,0,0,0,0,0,0,0,0,11,0,331,0,260,33,4,12,0,0,0
2,1,0,1,0,0,0,0,0,11,0,383,0,261,184,62,33,0,0,0
0,0,0,0,0,0,0,0,0,11,0,361,0,242,184,62,33,0,0,0
0,0,0,0,0,0,0,0,0,10,0,282,0,218,33,4,12,0,0,0
0,0,0,0,0,0,0,0,0,10,0,282,0,218,33,4,12,0,0,0
19,1,3,1,2,6,3,3,38,11,3,361,912,242,184,62,33,0,0,0
1,0,0,1,0,0,0,0,0,12,0,389,0,284,184,62,33,0,0,0
0,0,0,0,0,0,0,0,0,10,0,282,0,218,33,4,12,0,0,0
0,0,0,0,0,0,0,0,0,9,0,306,0,204,33,4,12,0,0,0
4,0,1,1,0,1,1,0,0,11,0,361,0,242,184,62,33,0,0,0
