@relation final-weka.filters.unsupervised.attribute.Remove-R1

@attribute course numeric
@attribute n_assignment numeric
@attribute n_assignment_a numeric
@attribute n_assignment_s numeric
@attribute n_messages numeric
@attribute n_posts numeric
@attribute n_read numeric
@attribute n_quiz numeric
@attribute n_quiz_a numeric
@attribute n_quiz_s numeric
@attribute n_messages_ap numeric
@attribute total_time_assignment numeric
@attribute total_time_quiz numeric
@attribute total_time_forum numeric
@attribute nota numeric

@data
29,0,0,0,0,10,0,0,0,0,0,0,0,3595,2
29,0,0,0,0,3,0,0,0,0,0,0,0,1985,1
29,1,0,1,0,3,0,0,0,0,0,0,0,1107,0
29,1,0,1,0,2,0,0,0,0,0,204,0,2159,0.5
29,1,0,1,0,0,0,0,0,0,0,0,0,245,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,18,0
29,1,0,1,0,0,0,0,0,0,0,0,0,268,4
29,1,0,1,0,0,0,0,0,0,0,0,0,165,0
29,1,0,1,0,0,0,0,0,0,0,649,0,1165,1.5
29,4,0,4,0,1,0,0,0,0,0,337,0,342,0
29,1,0,1,0,3,0,0,0,0,0,0,0,1756,5.5
29,1,0,1,0,1,0,0,0,0,0,75,0,1826,0
29,2,0,2,0,0,0,0,0,0,0,262,0,6418,5
29,2,0,2,0,0,0,0,0,0,0,152,0,5149,4.5
29,0,0,0,0,0,0,0,0,0,0,0,0,666,4.5
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,861,5
29,1,0,1,0,0,0,0,0,0,0,0,0,5589,6.5
29,1,0,1,0,2,0,0,0,0,0,6,0,0,0
29,1,0,1,0,0,0,0,0,0,0,0,0,382,0
29,1,0,1,0,0,7,0,0,0,0,0,0,12683,2.5
29,0,0,0,0,0,0,0,0,0,0,0,0,143,0
29,2,0,2,0,0,0,0,0,0,0,48,0,1060,3.5
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,0,1,0,2,7,0,0,0,0,120,0,1949,6.5
29,1,0,1,0,0,0,0,0,0,0,18,0,2242,3.5
29,0,0,0,0,0,0,0,0,0,0,0,0,1903,10
29,1,0,1,0,0,0,0,0,0,0,0,0,850,0
29,0,0,0,0,1,0,0,0,0,0,0,0,1126,0
29,0,0,0,0,0,0,0,0,0,0,0,0,340,0
29,1,0,1,0,0,0,0,0,0,0,13,0,0,0
29,1,0,1,0,0,0,0,0,0,0,0,0,550,4
29,2,0,2,0,4,0,0,0,0,0,388,0,2429,4.5
29,0,0,0,0,0,0,0,0,0,0,0,0,237,0
29,0,0,0,0,0,0,0,0,0,0,6,0,733,5.5
29,0,0,0,0,0,7,0,0,0,0,0,0,1396,0
29,1,0,1,0,0,0,0,0,0,0,0,0,391,0.5
29,0,0,0,0,0,0,0,0,0,0,0,0,71,0
29,2,0,2,0,0,0,0,0,0,0,148,0,5221,5
29,1,0,1,0,0,0,0,0,0,0,172,0,0,2
29,0,0,0,0,0,0,0,0,0,0,0,0,9720,0
29,1,0,1,0,0,0,0,0,0,0,276,0,233,0
29,0,0,0,0,0,0,0,0,0,0,0,0,1003,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,0,1,0,0,0,0,0,0,0,0,0,1343,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,0,1,0,0,0,0,0,0,0,0,0,142,0
29,0,0,0,0,0,0,0,0,0,0,0,0,1367,2.5
29,1,0,1,0,0,0,0,0,0,0,0,0,0,5
29,0,0,0,0,1,0,0,0,0,0,0,0,810,6.5
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,0,1,0,0,0,0,0,0,0,0,0,579,0
29,0,0,0,0,0,0,0,0,0,0,0,0,433,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2,0,2,0,0,0,0,0,0,0,329,0,564,4.5
29,0,0,0,0,0,0,0,0,0,0,0,0,252,0
29,0,0,0,0,0,0,0,0,0,0,0,0,620,0
29,2,0,2,0,0,0,0,0,0,0,445,0,551,5
29,1,0,1,0,0,0,0,0,0,0,0,0,109,0
29,1,0,1,0,0,0,0,0,0,0,0,0,0,0
29,1,0,1,0,1,0,0,0,0,0,0,0,125,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,0,1,0,0,0,0,0,0,0,0,0,0,6
29,2,0,2,0,1,0,0,0,0,0,256,0,710,4
29,1,0,1,0,0,0,0,0,0,0,95,0,347,0
29,0,0,0,0,0,0,0,0,0,0,0,0,120,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2,0,2,0,0,0,0,0,0,0,278,0,1147,0
29,1,0,1,0,4,0,0,0,0,0,0,0,415,0
29,1,0,1,0,1,0,0,0,0,0,324,0,1638,5.5
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,0,1,0,0,0,0,0,0,0,24,0,2455,2.5
29,1,0,1,0,0,0,0,0,0,0,0,0,0,1
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,833,0
29,0,0,0,0,0,0,0,0,0,0,0,0,641,0
29,1,0,1,0,0,0,0,0,0,0,0,0,0,0
110,11,0,11,0,0,0,12,9,3,0,1681,6412,2158,9.1
110,10,0,10,0,0,0,11,8,3,0,98,6709,553,6.6
110,8,0,8,0,7,0,7,6,1,0,1153,3534,6684,4
110,11,0,11,0,0,0,10,5,5,0,1149,5608,292,6.1
110,9,0,9,0,0,0,13,9,4,0,1382,8916,5703,9
110,8,0,8,0,1,0,13,9,4,0,908,7293,5640,7
110,9,0,9,0,0,0,11,8,3,0,768,3396,1800,5
110,10,0,10,0,5,0,12,8,4,0,661,5062,1535,7.9
110,10,0,10,0,4,0,13,9,4,0,664,6035,7763,7.4
110,11,0,11,0,1,0,11,9,2,0,1554,4114,0,7.3
110,10,0,10,0,1,0,13,9,4,0,403,2910,3157,7.8
110,9,0,9,0,0,0,11,7,4,0,888,5162,799,4
110,10,0,10,0,4,0,12,9,3,0,678,5620,1705,8.4
110,10,0,10,0,2,0,13,9,4,0,772,4080,1139,8.2
110,9,0,9,0,0,0,12,7,5,0,698,4796,1217,4
110,10,0,10,0,0,0,11,9,2,0,985,4132,515,8
110,11,0,11,0,2,0,12,9,3,0,1020,3000,1975,8.1
110,11,0,11,0,3,0,12,9,3,0,1039,5725,3725,8.2
110,8,0,8,0,5,0,7,3,4,0,384,4028,4311,4
110,9,0,9,0,2,0,12,8,4,0,1099,6662,3287,7.1
110,11,0,11,0,0,0,12,7,5,0,1095,4848,1988,6.8
110,10,0,10,0,2,0,12,8,4,0,532,8107,1719,7.1
110,10,0,10,0,2,0,13,8,5,0,1626,6287,4764,8.4
110,11,0,11,0,4,0,13,9,4,0,361,5370,3722,7.8
110,9,0,9,0,0,0,12,9,3,0,2157,4815,931,7.6
110,11,0,11,0,3,0,12,7,5,0,2102,4002,3964,6.4
110,9,0,9,0,0,0,10,7,3,0,607,4536,196,4
110,9,0,9,0,0,0,11,7,4,0,790,5593,0,4
